"","Brand","Sort","ABV","Brewery","ABV2"
"1105","Pater Verbiest Donker","biologisch, donker","9%","De Proefbrouwerij",9
"1106","Paternoster Dubbel","bruin dubbel","8%","Microbrouwerij Achilles in De Proefbrouwerij in opdracht van Paters en Prinsen",8
"1107","Paternoster Tripel","tripel","8%","Brewery Lupus in opdracht van Paters en Prinsen",8
"1108","Patrasche dubbel","donkerbruin","8%","Brewery De Arend",8
"1109","Paulus","oud bruin","6%","Brewery Het Sas",6
"1110","Paus","streekbier","8.5%","De Scheldebrouwerij voor De Lelie",8.5
"1111","Pauwel Kwak","speciaalbier","8.4%","Brewery Bosteels",8.4
"1112","Pax Pils","pils","4.6%","Brewery Sint-Jozef",4.6
"1113","Pêche Mel Bush","fruitbier","8.5%","Brewery Dubuisson",8.5
"1114","Pee Klak Grand Cru","etiketbier","8.4%","Brewery Strubbe voor Brewery Crombé",8.4
"1115","Père Abbé","tripel","7.3%","Brasserie Du Bocq",7.3
"1116","Père Noël","kerstbier","7%","Brewery De Ranke",7
"1117","Peter Benoit","etiketbier","5%","Brewery Het Sas",5
"1118","Petrus Aged Pale","aged pale","7.3%","Brewery Bavik",7.3
"1119","Petrus Blond","high fermentation, blond","6.6%","Brewery Bavik",6.6
"1120","Petrus Dubbel Bruin","bruin","6.5%","Brewery Bavik",6.5
"1121","Petrus Gouden Tripel","tripel","7.5%","Brewery Bavik",7.5
"1122","Petrus Oud Bruin","oud bruin","5.5%","Brewery Bavik",5.5
"1123","Petrus Speciale","speciaalbier","5.5%","Brewery Bavik",5.5
"1124","Petrus Winterbier","winterbier","6.5%","Brewery Bavik",6.5
"1125","Pick-Up","pils","5%","Brewery Walrave",5
"1126","Piedbœuf Blonde","tafelbier","1.5%","Brewery Piedbœuf (InBev)",1.5
"1127","Piedbœuf Brune","tafelbier","1.5%","Brewery Piedbœuf (InBev)",1.5
"1128","Piedbœuf Excellence","tafelbier","2%","Brewery Piedbœuf (InBev)",2
"1129","Piedbœuf Foncée","tafelbier","1.5%","Brewery Piedbœuf (InBev)",1.5
"1130","Piedbœuf Triple","tafelbier","3.8%","Brewery Piedbœuf (InBev)",3.8
"1131","Pierewietje","","6%","Brewery De Regenboog",6
"1132","Piet-Agoras","high fermentation","9%","Brewery Het Alternatief bij Brewery De Graal",9
"1133","Pikkeling","amber, high fermentation","6.2%","Brewery Slaghmuylder in opdracht van VVV De Faluintjesstreek",6.2
"1134","Pikkeling Tripel","tripel","8%","Brewery Boelens in opdracht van VVV De Faluintjesstreek",8
"1135","Pilaarbijter Blond","high fermentation","7.2%","Brewery Bavik",7.2
"1136","Pilaarbijter Bruin","high fermentation","6.5%","Brewery Bavik",6.5
"1137","Pils de Brabant","pils","4.9%","Groep John Martin",4.9
"1138","Pimpernelle","tripel, biologisch","8%","Brewery Jessenhofke",8
"1139","Pink Killer","high fermentation, fruitig witbier","5%","Brasserie de Silly",5
"1140","Pipedream","IPA","7.8%","Brewery Alvinne",7.8
"1141","Piraat","high fermentation","10.5%","Brewery Van Steenberge",10.5
"1142","Pissenlit","saison","8%","Brasserie Fantôme",8
"1143","Plezir Blond","pils","5.5%","Brewery Sint-Jozef in opdracht van Zirvest Cvba",5.5
"1144","Plezir Brown","high fermentation","7.1%","Brewery Sint-Jozef in opdracht van Zirvest Cvba",7.1
"1145","Plezir D Lux Blond","blond aperitiefbier","6.7%","Brewery Sint-Jozef in opdracht van Zirvest Cvba",6.7
"1146","Plezir D Lux Rosé","rosébier","5.2%","Brewery Sint-Jozef in opdracht van Zirvest Cvba",5.2
"1147","Ploegsteert","","5.4%","Brewery Verhaeghe Vichte",5.4
"1148","Plokkersbier","amber","7%","Brewery De Bie",7
"1149","PMPRNL","tripel, biologisch","8%","Brewery Jessenhofke",8
"1150","Podge Belgian Imperial Stout","stout","10.5%","Brewery Alvinne",10.5
"1151","Podge Oak Aged Stout","stout","11%","Brewery Alvinne",11
"1152","Polygonneke","roodbruin, etiketbier","6%","Brewery Van Eecke",6
"1153","Postel Blond","blond, Abbey Beer","7%","Affligem Brewery (Brewery De Smedt)",7
"1154","Postel Christmas","roodbruin Abbey Beer","9%","Breweryen Alken-Maes",9
"1155","Postel Dubbel","bruin, Abbey Beer","7%","Affligem Brewery",7
"1156","Postel Tripel","blonde tripel, Abbey Beer","8.5%","Affligem Brewery",8.5
"1157","Potteloereke","bruin","8%","Huisbrouwerij Sint-Canarus",8
"1158","Poorter","Abbey Beer","6.5%","Brasserie du Bocq voor Brewery Sterkens",6.5
"1159","Poperings Hommelbier","high fermentation","7.5%","Brewery Van Eecke",7.5
"1160","Poperings Nunnebier","high fermentation","7.2%","Brewery Verhaeghe",7.2
"1161","Préaris Blond","high fermentation","6%","De Proefbrouwerij voor Vliegende Paard Brouwers",6
"1162","Préaris Quadrupel","Belgian Strong Ale","10%","De Proefbrouwerij voor Vliegende Paard Brouwers",10
"1163","Prima Leroy","tafelbier","3.25%","Brewery Het Sas",3.25
"1164","Primus","pils","5.2%","Brewery Haacht",5.2
"1165","Prinsesken","licht rood, fruitbier","6.5%","Brewery Boelens",6.5
"1166","Qantelaar","quadrupel","8%","Brewery Maenhout voor bierfirma Proefbrouwerij d'oude maalderij",8
"1167","Quadrigenti","blond","5.6%","'t Hofbrouwerijke voor bierfirma Montaignu",5.6
"1168","Quest","blond","9%","Brewery De Graal",9
"1169","Queue de Charrue Ambrée","amber","5.6%","Brasserie du Bocq in opdracht van Brewery Vanuxeem",5.6
"1170","Queue de Charrue Blonde","blond, high fermentation","6.6%","Brasserie du Bocq in opdracht van Brewery Vanuxeem",6.6
"1171","Queue de Charrue Brune","oud bruin","5.4%","Brewery Verhaeghe Vichte in opdracht van Brewery Vanuxeem",5.4
"1172","Queue de Charrue Triple","tripel","9%","Brewery Van Steenberge in opdracht van Brewery Vanuxeem",9
"1173","Quackelbeens Donker","high fermentation, chocoladebier","7.1%","Brewery Gulden Spoor voor Alain Quackelbeen",7.1
"1174","Quintine Ambrée","high fermentation","8.5%","Brasserie Ellezelloise",8.5
"1175","Quintine Bio Organic","high fermentation, biologisch","5.9%","Brasserie Ellezelloise",5.9
"1176","Quintine Blonde","high fermentation","8%","Brasserie Ellezelloise",8
"1177","Rader Ambrée","amber","10.5%","Brasserie de l'Abbaye du Val-Dieu voor Radermacher Distillerie",10.5
"1178","Rader Blonde","blond","6.5%","Brasserie de l'Abbaye du Val-Dieu voor Radermacher Distillerie",6.5
"1179","Ramée Amber","Abbey Beer, amber","7.5%","Brasserie de Brunehaut",7.5
"1180","Ramée Triple Blond","tripel, blond","8%","Brasserie de Brunehaut",8
"1181","Rebel Local","IPA","8.5%","Brouwersverzet bij Brewery Gulden Spoor",8.5
"1182","Redbach","fruitbier (kriekensap)","3.5%","Brewery Rodenbach",3.5
